B079JSZ1Z2,"on May 25, 2018",amzn1.account.AEXRNPL7KDC6ITDSYQ4Q4G64POQQ,I will buy from this seller again,Fully unlocked,5,positive
B079JSZ1Z2,"on May 25, 2018",amzn1.account.AG7SSUCSKAJSWQ2DUIZKSWH5PS4Q,Perfect phone. Keep running the notch guy in the ...,Perfect phone.  Keep running the notch guy in the commercials lol.,5,positive
B079JSZ1Z2,"on May 25, 2018",amzn1.account.AH4C67MK7QCGDWIJ62SSAN3LB7FQ,Be careful to select the right colour of the device.,Product was exactly as described. Love using this device!,5,positive
B079JSZ1Z2,"on May 25, 2018",amzn1.account.AE5CHSWB74C5XLZP2LGLQ7ZDTPDA,"Deficient in features ""BEWARE""......","Beware, this unlocked phone does not have advanced calling or video calling capability.  Went from a S7 to this S9 & went backwards in features.  The seller info should declare these deficiencies in their sales pitch.",1,negative
B079JSZ1Z2,"on May 25, 2018",amzn1.account.AF2QINY3MAX57JEC4FZD6O5W4XAQ,Five star!,Very nice! Perfect quality!,5,positive
B079JSZ1Z2,"on May 24, 2018",amzn1.account.AFJGJ43FV75YIKC375CBB6SRXLQA,It is an awesome one!,"It is an awesome one!!!!! Now able to use it more easy yeah. The battery is lasting me much longer, if I do not use it all the time, I do not need to charge it until the the next. Is is easy to set it up and get all your data back on.",5,positive
B079JSZ1Z2,"on May 24, 2018",amzn1.account.AGYF55UUYUWISPYHEX6L7FDMGXLA,Touchscreen nav bar died,"I was very happy at first with my purchase, as this is a very powerful phone.<br />But, seems that there's a growing issue in which areas of the screen die and get unresponsive.<br />In my case it was the Navigation Bar, but other people in forums have this same issue in different areas of the touchscreen too.",1,negative
B079JSZ1Z2,"on May 24, 2018",amzn1.account.AHE5F2XF76B7SDOBVZD43SGX3JIQ,Five Stars,Awesomeness,5,positive
B079JSZ1Z2,"on May 24, 2018",amzn1.account.AERZY4RWSHZR5NXP4DEXKWLFKQCQ,Five Stars,The phone is perfect  am wowed,5,positive
B079JSZ1Z2,"on May 24, 2018",amzn1.account.AFFVOEH3AUTTYBMX66WRWHJVE22Q,"Great phone, buy it!",This is a great phone. I just upgraded from an HTC phone & the Galaxy S9 plus makes it look like a toy. I'm in a not so great service area & so far so good. I also had problems with Wi-Fi in my house with the other phone & so far have had no issues with that.,5,positive
B079JSZ1Z2,"on April 8, 2018",amzn1.account.AHYAKMXL7EHTNTIDPVA5CBM67Y4A,Top cellphone in the marketplace,"After doing research on pros/cons of top 4 popular smartphones in the marketplace (including iPhone X, Sony XZ2, Huawei Mate 10 Pro, and S9+), i finally made the purchase decision and ordered S9+. I am satisfied with the phone. It provides several super powerful features to improve experience of daily usage.<br />Only one improvement which Samsung could make is to seal product boxes to protect customer's experience of unboxing.",5,positive
B079JSZ1Z2,"on April 8, 2018",amzn1.account.AFLCRHRGP65P6DRGCJZ67IIP2FBQ,Five Stars,I Love this phone.,5,positive
B079JSZ1Z2,"on April 7, 2018",amzn1.account.AHG3Y2RSPHVQ5IMRV5UY777ISICA,Five Stars,"Wonderful, elegant, fast, the colors in the screen are amazing",5,positive
B079JSZ1Z2,"on April 7, 2018",amzn1.account.AFGSM2IFWCMZCPCORIQEO7SGXIRQ,Superb!,"I've been a fan of the Galaxy series, both tablets and phones, having extensive experience with the S5, S6, S8 and now the S9+. The S9+ has dual rear-facing cameras, a first in the series. This feature alone was worth upgrading as I'm an avid amateur photographer with several nice DSLR cameras, but face it, I take far more photos with my phone simply because it's always with me.<br /><br />Transitioning from the S8 to S9+ took an hour but was smooth as silk.  *Everything* transferred automatically - apps, pics, files, settings - including the kitchen sink. Lol<br /><br />I highly recommend - 5 golden stars!",5,positive
B079JSZ1Z2,"on April 6, 2018",amzn1.account.AH2GCOBPROVKZLJ3HSPDFJW5YFVA,Five Stars,Awesome phone,5,positive
