B06Y15G61T,"on May 22, 2018",amzn1.account.AFWFIUADNZKEDVHYIO6Z5VCA3B5A,... it two day ago the call quality is very poor and the battery life is also very poor,i brought this phone a month ago just started using it two day ago the call quality is very poor and the battery life is also very poor.<br />i would like to return this product becuase the other party can't hear me when i talk.,1,negative
B06Y15G61T,"on May 17, 2018",amzn1.account.AF7GINZ3UN5QLXMDEAXSTYJOLWGA,Five Stars,Good product. Original,5,positive
B06Y15G61T,"on May 17, 2018",amzn1.account.AGSKC72QXCQO4QBZ6UU26G7Z5JLA,One Star,"No warranty, the product is fabricated in Vietnam and Samsung US doesn't take any responsibility.",1,negative
B06Y15G61T,"on May 14, 2018",amzn1.account.AH5SCSTBQBNKTD26ZLDCIYTJ7OLA,Five Stars,The best Phone!,5,positive
B06Y15G61T,"on May 13, 2018",amzn1.account.AEXTV6DIEICHUBXHHGHC7CUQ4ODQ,Really good quality,Authentic phone I liked it a lot,5,positive
B06Y15G61T,"on May 13, 2018",amzn1.account.AGDL64BS5EVHOZ3OR2CJGXASF4XQ,not water resistant i bought 2 of this phone and ...,not water resistant i bought 2 of this phone and the charger will not work after water gets int the port you will have to use wireless charging or your out of luck,1,negative
B06Y15G61T,"on May 13, 2018",amzn1.account.AHMQ4QE2OLOXQ26CPPULTYRWXPEA,As Described,"All in all, the phone was as described, brand new and works like a dream. I bought it for my sister (who is insufferably picky about any little hiccup) but no complaints from her as yet so I'll take it as a good sign. All in all, was quite pleased with the experience.",5,positive
B06Y15G61T,"on May 8, 2018",amzn1.account.AF4W5TXQ4DPSCI4C5KJ2EBN4OHSQ,Working as expected!,"Phone was received in perfect conditions as a brand new with all the accesories. The international unlocked version model is working perfectly in El Salvador, Central America withouth any issues.",5,positive
B06Y15G61T,"on May 8, 2018",amzn1.account.AER7XSARFOJB6T73PHVDT5SCW5QA,"Great phone, i cannot login into my gmail","Great phone, i cannot login into my gmail. Cannot access any mails or even play store. it work for a month.",4,positive
B06Y15G61T,"on April 30, 2018",amzn1.account.AFLKDTH6LZUTCNBS5223IGABHQEA,In love with the camera!,"Update on my S8+<br />I've been using it for a month now and NO issues at all.Im in love with the camera,gr8 features,easy to use,I was coming from a BLU so this one is like a Ferrari to me!!",5,positive
B06Y15G61T,"on December 17, 2017",amzn1.account.AG7O5UPLYI6A6OC3N2ITHCFWCBDQ,Five Stars,"loving it, no issues so far.",5,positive
B06Y15G61T,"on December 15, 2017",amzn1.account.AHDJYHU3DI3XUMGWXBK6WZY6TBCA,Three Stars,Hated the placement of fingerprint scanner and bloatware. Replaced it with a OnePlus 5T.,3,negative
B06Y15G61T,"on December 15, 2017",amzn1.account.AECXDMIPX3GMIRX5SMKKGO7UXHNQ,"The best phone on the market, fully satisfied","I'm fully satisfied with this phone! The screen is just incredible and the phone itself is not too big for me.<br />The battery is satisfying. If I use the phone the whole day in the end of the day I have to recharge, but if you don't use the phone continuously it can last for at least two days easily.",5,positive
B06Y15G61T,"on December 13, 2017",amzn1.account.AE7CODMFN56PXDABHF5BWJZA32KQ,Four Stars,Nice,4,positive
B06Y15G61T,"on December 13, 2017",amzn1.account.AEPK7CTCZTWWO46UMHJIO7RYMXJA,I bought this equipment with international unlocking. I brought ...,"I bought this equipment with international unlocking. I brought it to Peru and it worked for a month. Then I stop working, I talked to the seller and he told me that he had no guarantee. I called samsung and was told that the sim card slot is damaged and that they could not help me because the equipment was bought in Singapore. such an expensive team and nobody gave me a solution",1,negative
B06Y15G61T,"on December 11, 2017",amzn1.account.AH3RSYTDYZORV3UBUOTG6FXMVBRQ,Five Stars,"very very nice quality, use it for awhile now, everything is great.... fast speed, nice screen resolution",5,positive
B06Y15G61T,"on December 10, 2017",amzn1.account.AG5WUXGTHFNMDJHJRFGMH6VTFEXQ,Samsung Galaxy S8 is a bad phone and has the worst worldwide service,"I received this phone in 3 days after online order and hardly used it for 32 days when it broke down. The LCD started to have bright light on left edge on day 28 ( I did not realize it was an LCD problem and thought I had accidentally turned on some feature)  and by day 32 it progressively got worse and today day 33 the LCD is totally black , when I  turn it on the phone it vibrates but the screen stays black. I took it to the service center in Hyderabad  India but they said because I had bought it in the US the warranty did not apply.  I am very upset as I am here on an assignment and can not return to the US until Feb 20th. This is my first Samsung phone and I think I will never again buy another one. I have had Iphones before but never had such basic issues or such bad service.",1,negative
B06Y15G61T,"on December 10, 2017",amzn1.account.AFBL53PIVJN2DLR2TNDDCGTTTBLA,I don't like Black. Hard to find on my furniture,Great phone,5,positive
B06Y15G61T,"on December 10, 2017",amzn1.account.AFGI2TJKLNFLQONFXS55RNYW5UIA,Five Stars,Highly recommend! Prompt delivery and everything is within our expectation!,5,positive
B06Y15G61T,"on December 10, 2017",amzn1.account.AE4DSUDZQ3P5HO23SVJR6PCXYIPA,Phone was good for a while then seemed defective,Phone was good for a while then seemed defective. Samsung update made phone mess up still in good condition. I would like a refund or exchange for a new device,1,negative
B06Y15G61T,"on December 7, 2017",amzn1.account.AH7QCUCOZYDCNDEDA3XQQWWQVIAQ,Too narrow and small screen,"I expected a larger screen, what I got is a ridiculously narrow and long screen with non standard width to height ratio. Wish I bought something else with a bigger screen.",3,negative
B06Y15G61T,"on December 6, 2017",amzn1.account.AG625SRZSM4DPTRZLA3EGM6DW7ZQ,This phone is absolutely beautiful to hold and it has a sleek,"This phone is absolutely beautiful to hold and it has a sleek, 'new-car' feeling!<br /><br />Over all the functionality is similarly comparable across the Galaxy phones (4/7edge) with exception to few obvious changes (upgrades?) to the phone.  In the quest for the slick, they opted to take away the 'Home' button, which my fingers - as well as other iPhone/Galaxy users - have gotten subconsciously programmed to press, only to find that there are no buttons. I would need to 'swipe up' from the bottom of the screen and a virtual 'Home button, 'back' function and 'multi-window' interface becomes accessible.<br /><br />This phone has a Samsung Note8-esque interface (not to mention, the screen size difference between those two is just 0.1 inch!). So outside of the Stylus, S8+ promises to be just as versatile in its use!  One other function they did away with - because of the Home button change - I have to use the Volume down+Power button to take a screenshot.  Using my thumb+middle finger to squeeze a shot may get some getting used to!<br /><br />The 3500mAh Battery holds well through the day (I use it heavily and I only seem to be down to about 35% by dinner time) and the only thing that seems to 'overheat' the product and/or shorten the battery life is when I am using it with VR.<br /><br />When I first had the Samsung S4, I was able to capture image of a beautiful low-light sunset (for which I was selected winner for a photography submission) and ever since then Ive been HOOKED!  I took a photo of another sunset! This one was taken without any special filter and yet it beautifully captures the layers of the fading colors - S8+ exceeds its low-light capabilities of it's predecessors!  In addition, there are some new photo functions (swipe left in Camera). I love that as an inner (or Yelp) Foodies, I have my very own food filter to snap as many lunch or dinners as I pleased!  Use the 'Pro' function and I am Wow'd with the filter package it comes with!<br /><br />Getting an unlocked phone will give me the freedom to choose mobile network not just in the US but Internationally - which is great, as an international photographer to travel with and it sure beats carrying around multi handsets!  As an unlocked phone, this Samsung S8+ has both CDMA and GSM capabilities.  I went with a CDMA network, and the company blocked my Talk and Surf function. On the bright side, CDMA does seem to preserve the battery life better so its a toss up!<br /><br />As the saying goes, ya either will Love it or Hate it, like Kimchee.  Take it from a diehard Macgirl that switched out of the iPhone to a Samsung.  It was worth it and havent gone back!  ",5,positive
B06Y15G61T,"on December 5, 2017",amzn1.account.AFW3QF5ZRCE3A5H6DHU2ZSXBPKIQ,Doesnt work with Verizon,This phone does not work for Verizon. Its also made in UAE so it will not be covered by Samsung manufactur warranty.,3,negative
B06Y15G61T,"on December 4, 2017",amzn1.account.AG66YVCNINUUCQQXMYLO6AHXGGGQ,Five Stars,"So good. I am a traditional Samsung user, and I think the product of Samsung phone is getting better and better.<br />Just kindly reminder, this product is international vision which means there is no warranty. But I think if you have good case and screen protector, this phone you will be using for years.",5,positive
B06Y15G61T,"on December 3, 2017",amzn1.account.AHZR5TH3JLIBZX7C2QZH3R4FMFFQ,Really wanted to give this phone 5 stars. I ...,"Really wanted to give this phone 5 stars. I bought the international version and received it a couple days ago however, when I plugged in my headphones they do not work. The head phone works with other phones and the phone works with other headphones  but they do not work together. I really had high expectations",3,negative
B06Y15G61T,"on December 1, 2017",amzn1.account.AGXEJ5AMLW3J5FCOMJLACMVZQCDQ,One Star,Very disappointed. I bought a S8+ Maple Gold but I got a Silver.,1,negative
B06Y15G61T,"on November 29, 2017",amzn1.account.AEXBJ44AFJYMMXZ7CJNVD5Q4RKGA,Features don't work. Quality is poor. Support is expensive and abysmal.,"This looks like a great phone at first. After only a few weeks, I realized that I made a huge mistake to give Samsung a third chance (after owning a washer/dryer that died after only 4 years and a TV that came apart and had to be exchanged for a Sony TV after less than a week).<br /><br />First, Samsung's bloatware really ruins the experience. However, with sweat, blood, and tears you can remove most of it. You can even disable Bixby and turn your Galaxy S8+ into the first phone with a non-functional hardware button. However, you cannot have hands-free Google Assistant, even though Samsung advertises this feature.<br /><br />Second, the hardware is fragile. I had my phone in a Samsung case since day one and it still managed to get a deep long scratch on the back. I didn't drop it. It was never outside the case. It was not a third-party case. I'm not a savage. For example, I've never scratched any of my previous iPhones in the span of nearly a decade.<br /><br />Third, don't bother paying for or seeking support. You'll first talk to support that turns out to be volunteers, yet it is made to look like official Samsung support. Then you're given a phone number to call support and ten minutes into the call they mention Premium Support. You then respond with... ""Wait, your not Premium Support"" and they give you yet another number to call. So, you call Premium Support, which costs $288 for 2 years by the way, and are told that you have to pay the $99 deductible even in this case. I then learn that I'm actually talking to someone from Assurant who has zero flexibility. They tell me that they can connect me with Premium Support though. After several minutes I learn that there actually is no other Premium Support entity and that you're really just dealing with an inflexible insurance and that Samsung doesn't stand behind their products.<br /><br />I understand that there are a deductible and fine print but Samsung should also understand that I only do business with companies that stand behind the quality of their products. I didn't drop the phone or use it without a case. I used it with a Samsung case that ended up causing a scratch on the supposedly ultrastrong glass back. If it weren't for Apple's lackluster iPhone releases in the past 3 years I would've never given them a third chance. There will absolutely not be a fourth chance.<br /><br />You'll see this phone on Craigslist very soon and I'll be returning all my Samsung accessories over the weekend.",2,negative
B06Y15G61T,"on November 28, 2017",amzn1.account.AHZPVEMFKPSI3BSEFV57NFYPEG4Q,Five Stars,Ok so far,5,positive
B06Y15G61T,"on November 27, 2017",amzn1.account.AG4RUVFZM2DJV5PUI45XGI2WEU4A,Got the phone and Samsung duos was written on the ...,"Got the phone and Samsung duos was written on the back!!!! What the heck is this, and no one is responding to me fast enough.",1,negative
B06Y15G61T,"on November 26, 2017",amzn1.account.AGDIZD72TEXF4MMQQD4C3PQQBIVA,Would recommend to anyone. Good product,"I love this phone. Although it is fragile and expensive, but it is worth the price, design and style. I would recommend this to anyone.",5,positive
B06Y15G61T,"on November 25, 2017",amzn1.account.AEHGBN4MI7QANJCF7465ZME6MLJQ,Extremely fragile phone,"This is an awesome phone, but the screen is very fragile. My Lifeproof case had an issue so I was forced to take the phone out. 1 small drop, cracked screen....ridiculous for a $850 phone.",3,negative
B06Y15G61T,"on November 24, 2017",amzn1.account.AFZGGYOTLFPTRLAB5KWBWXLKLGTA,The phone is great. Great camera and screen,The phone is great. Great camera and screen. To rated 5 stars the OS should be closer to pure Android.,4,positive
B06Y15G61T,"on November 23, 2017",amzn1.account.AHTLQSRRWXSYVNH4AOIP3A3I33OQ,"... it on time with 2 day air and with perfect delivery, currently using in mexico with no problems ...","Got it on time with 2 day air and with perfect delivery  , currently using in mexico with no problems at all , fast phone beautiful camera  awesome screen .",5,positive
B06Y15G61T,"on November 20, 2017",amzn1.account.AH6UOH4F76XA4YP3V5NAX3LUVQVA,Five Stars,Very satisfied about this phone,5,positive
B06Y15G61T,"on November 20, 2017",amzn1.account.AGT4E322DMI4XNIVOTQKWAUSP3IQ,Five Stars,the best,5,positive
B06Y15G61T,"on November 19, 2017",amzn1.account.AGJZNXWKG45XHMRPFZOWDQ2BRB5Q,... coat did not stick and then it scratched and like usual AMAZON said too bad for you,The clear coat did not stick and then it scratched and like usual AMAZON said too bad for you!,1,negative
B06Y15G61T,"on November 18, 2017",amzn1.account.AE6OVM5PDJTG5EEWWVXAJ5OXZBKA,Super phone,"A fabulous phone. Complaints that you see on line are from naysayers, the probably hate their lives too",5,positive
