B06Y137TLR,"on May 22, 2018",amzn1.account.AGRJBSTKRWG6B2IQN42UV2UIQEYQ,One Star,I am disappointed. All I received was the charger and the headset for my money. Total garbage,1,negative
B06Y137TLR,"on May 21, 2018",amzn1.account.AFNWQ52KKOCSGPLZUKDKLYZ6EIBQ,i can not use the phone. touch screen problems.,i have problems with the phone the touch screen doesnt work.,1,negative
B06Y137TLR,"on May 19, 2018",amzn1.account.AF2KC2CQTIZ275ULXU4FWJPLIQMA,I lost my money.,"I could never use the phone, I never turned it on, I took it to several technical services, because I am out of the US I did not have an option, I did not find the fault, a total loss of money.",1,negative
B06Y137TLR,"on May 18, 2018",amzn1.account.AGOWMIN6U5GQQH77LCCKOKAQZOMQ,Don't even think about it. NO PHONE IN THE BOX!,NO PHONE IN THE BOX SCAM SCAM SCAM!!!!!,1,negative
B06Y137TLR,"on May 17, 2018",amzn1.account.AHFTINSO7VCZFBX3AISMO3OHUMYA,Excelente,Bien,4,positive
B06Y137TLR,"on May 14, 2018",amzn1.account.AHDCGFQRMPNXVUKSTE6BUG5I6E7Q,good phone!,"My wife loves it, good phone!!!",5,positive
B06Y137TLR,"on May 13, 2018",amzn1.account.AHBDVIHVSMQT4QLOYEA6T33YJHVA,"Samsung is terrible and has the worst, most unknowledgeable customer support ever. This phone is way too frustrating to use.","This is the worst phone I have ever owned. I got it, plugged it in, and some strange icons appeared on the screen. None of these icons are listed on the Samsung support website nor in the user manual for the phone. I contacted Customer Care and they had no clue what they were either and could not help at all. I finally got it working but wanted to change the way the clock was displayed on the lock screen. Again, no info in the manual or on the website. Customer Care said that it was not possible to change the display even though the pictures of the themes show it. Again, after hours of frustration, I figured it out. Same thing with the Emergency Alert settings. Still haven't figured out how to turn those off and, again, Samsung Customer Care is clueless as well. This would be a great phone if you could delete all the Samsung apps and just run the basic Android apps. Never should have bought a Samsung. I am frustrated with it daily and the battery life is terrible. I seriously consider returning it multiple times a day...",1,negative
B06Y137TLR,"on May 11, 2018",amzn1.account.AG2AN26UFLOIRE5TG3HOM6BDWEBQ,Five Stars,Excelente telfono!,5,positive
B06Y137TLR,"on May 11, 2018",amzn1.account.AGPKTS7OB6DGFQYXIUT6VVRZPDKA,For You Cautious NutHeads a REVIEW,Arrived 17 hours after i pressed order. Phone looks great and got setup and data transfer in 30 min. Phone is very fast and camera looks great ... poped sim card in laat (atnt) and it worked just fine. 4g is fast and no complaints.<br /><br />GoSamsung!,5,positive
B06Y137TLR,"on May 10, 2018",amzn1.account.AGAKMK23YZRUWZSEU4Y2MB7Z2N7A,I still use it with my slightly cracked screen and it still working fine after 3 months,"Dropped it and broke the screen in the third week after buying it! I had the otter box cover on and it still broke, I should've bought the bulkier otter case and had a screen cover too! I still use it with my slightly cracked screen and it still working fine after 3 months",3,negative
B06Y137TLR,"on December 28, 2017",amzn1.account.AFMOEX73RDVFP3GOYXFRY2YOW46Q,Five Stars,Only bad thing is that some stuff I can't change from Italian...otherwise love the 8,5,positive
B06Y137TLR,"on December 28, 2017",amzn1.account.AEDAKSN4P2O2452DMADFK3MDJMXA,seems like fake material,"DO NOT BUY. No where on the phone does it say s8 it says ""duos"", seems like fake material, even thought it is a ""international verison"", it is still suppose to be samsung. The headphones are from a akg company which  is not real samsung, the phone camera quality is terrible my old note 3 has better quality.",1,negative
B06Y137TLR,"on December 26, 2017",amzn1.account.AH6MS35SV2XYCB3P2AU3AHNLVQVA,Five Stars,Imei number is original. Phone received in brand new condition and works internationally.,5,positive
B06Y137TLR,"on December 26, 2017",amzn1.account.AFNMSHEXQAXEPSSTEFCHY5IS7XIQ,Ehh,"Mine was an Italian version and Samsung pay doesn't work on it (disappointing), bixby wouldn't work the first 2 months I had it, and many of the samsung apps are in Italian and can't be changed. Other than that, it's great.",3,negative
B06Y137TLR,"on December 26, 2017",amzn1.account.AEHVT2ZX4ZZPIMQJPNI5PEXQMTQA,Five Stars,Cool phone,5,positive
B06Y137TLR,"on December 25, 2017",amzn1.account.AGOV4KGN3TEBL44UPBG7KNGZ3ALA,One Star,I couldn't use it as Verizon told me they couldn't unlock it so I had to send it back!,1,negative
