B01M7O431L,"on May 22, 2018",amzn1.account.AENSOCWLVSU3E72Z3IIPQVYKTQKQ,That is the one thing I dislike about the new generation of phones,"I replaced my LG g6 with the Samsung s7 edge since the LG would not hold a charge anymore. That is the one thing I dislike about the new generation of phones. The Samsung is fast, light and has great graphics. Just put my Verizon sim card in it after the initial start-up and and it worked. Did not have to contact Verizon.  They were able to get all the info about the Samsung to change my number over to it. Very easy. So far so good. Re-certified is the way to go.",5,positive
B01M7O431L,"on May 21, 2018",amzn1.account.AGF36KZPMCHP6Z3QTGPO4X5Z4BNA,its screwd that ya left the only stupid way i can put a sim card in. sad i need a key to a phone.,"its screwd that ya left the only stupid way i can put a sim card in.. wheres the silly little key that everyones gonna lose?. the phone works good folks but the way they made it is the dumbest thing i ever seen,.. its a hassle already cause when they made the dang phone, why the heck should i even need a key for a dang phone. now when you lose this ever easy to lose key, u cant even get top your sim care or memory card. why not keep phones simple, what happened to removing the back. this is a way to make more money off of ppl because they know u will lose that little crap. its ashamed that if something happens to this phone and u need to remove the sim card.. your screwed just cause you dnt have a darn key... i could just strangle greedy ppl wwho make ish like this mann come on. now we need keys for our phones??? this phone  is inconvient or how ever u spell the stupid word. im so pissed that i  aint about to try to spell it right. shame who ever made this phone and thought makin ppl keep iup with a damn key, was a good idea and i would love to tlk to them.. if i gotta have a key to open my phone. keys should be free. cause takinig the back off of my phone all my life was free. i wont pay for these keys.",1,negative
B01M7O431L,"on May 21, 2018",amzn1.account.AGTDP6MK5IZALLON44AU4XG3OOTQ,Phone was lagging like crazy and would not respond in numerous occasions,Phone was lagging like crazy and would not respond in numerous occasions. It did not let me pick up calls and would not show the calling screen. Had to always use Bluetooth headphones to pick up or hang up. It was also missing basic apps like the calculator and calendar. Had to return. But they did refund me in full so I appreciated the 90 day risk free trial. Hopefully you get a better working one.,2,negative
B01M7O431L,"on May 20, 2018",amzn1.account.AHAWRMLOXLRWL53OW3PZAOKEU4SA,Five Stars,Very happy,5,positive
B01M7O431L,"on May 17, 2018",amzn1.account.AGYULHL56H2EF47BUMQTW6IWKBMA,Great Phone!,The phone was easy to set up even on a different network than Verizon. I had to contact my carrier. Very satisfied with purchase.,5,positive
B01M7O431L,"on May 16, 2018",amzn1.account.AGJXTHHT7NIX3NTBVDYUVTSR2HXA,I bought this phone with the GPS not working and ...,"I bought this phone with the GPS not working and it is already glitching, freezing up and shutting down apps after 2.5 months. Awful- I should have listen to the reviews I read.",1,negative
B01M7O431L,"on May 16, 2018",amzn1.account.AGGDC52E6ETF5NGIZARSTVLLXADQ,Phone doesn't turn on,My phone doesn't want to turn on and I have tried to charge it but still it doesn't turn on. What must I do because the return date was on the 12 May 2018?,1,negative
B01M7O431L,"on May 16, 2018",amzn1.account.AEVQ47SQEKXY27MSYNO5QNASTRGA,Bought this for my mother to replace her old andriod ...,Bought this for my mother to replace her old andriod  She's had so much trouble with it....sometimes it doesn't ring; it loses her settings; it won't always bluetooth sync with other devices.  She's taken it to her cell phone provider store for technical support and they've had a difficult time.  I' so sorry i purchased this for her :(,1,negative
B01M7O431L,"on May 16, 2018",amzn1.account.AFQX2HUES4BBQEJRFBTPWQOSJNKQ,To many bad reviews.,Lasted 10 months then died. Will not turn on. Oh well maybe i can trade it in and get a new phone instead of a refurbished. Now i am back<br />on my old S4 which is still working. Lesson learned. S7 was a flawed phone. To many bad reviews.,3,negative
B01M7O431L,"on May 15, 2018",amzn1.account.AG2DHZPWLYPNQ74SDJTEXP6222YA,"Packaging was great, but phone itself had glitch in LED screen ...","Packaging was great, but phone itself had glitch in LED screen and small gash. But functional. Need a phone now so don't have time to get it changed. Just going to deal with it",3,negative
